time,value
2025-02-27T08:18:40.024913604Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:41.023918381Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:42.017959266Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:43.05750243Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:44.032060404Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:45.039692614Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:46.032958488Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:47.052947596Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:48.031275919Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:49.059149034Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:50.046213157Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:51.037938867Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:52.055073745Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:53.050220602Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:54.038289873Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:55.042219761Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:56.044624973Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:57.051425723Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:58.070278314Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:59.099809684Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:00.042309441Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:01.046917575Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:02.044847193Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:03.04176551Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:04.042608348Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:05.088455575Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:06.047262904Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:07.050119687Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:08.056439935Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:09.058036208Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:10.104258388Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:11.058398927Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:12.062185583Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:13.085699152Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:14.06224155Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:15.060884582Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:16.057489694Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:17.060477574Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:18.069387936Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:19.06629973Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:20.067697241Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:21.055355963Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:22.120171251Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:23.056960082Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:24.051751113Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:25.15001545Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:26.064009587Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:27.06500187Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:28.06160048Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:29.06852561Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:19:30.074908932Z,"{""lat"":11.1069203,""lon"":106.6148418}"
