time,value
2025-03-09T02:49:32.64690594Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:33.511360583Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:34.440778694Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:35.492860989Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:36.52146747Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:37.500708575Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:38.511030254Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:39.510451222Z,"{""lat"":10.797443,""lon"":106.6722644}"
2025-03-09T02:49:40.510787731Z,"{""lat"":10.7972443,""lon"":106.6725745}"
2025-03-09T02:49:41.463589967Z,"{""lat"":10.7972443,""lon"":106.6725745}"
2025-03-09T02:49:42.443432347Z,"{""lat"":10.7972443,""lon"":106.6725745}"
